 fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 90, 33, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 83, 40, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 91, 31, 1, 63
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 88, 34, 1, 70
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 87, 36, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 100, 23, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 90, 33, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 79, 44, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 83, 40, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 2, 0, 90, 33, 0, 127
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 86, 37, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 86, 37, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 86, 37, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 81, 42, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 87, 36, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 2, 0, 87, 36, 0, 82
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 93, 30, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 2, 0, 89, 34, 0, 90
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 88, 35, 0, 80
 500, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 123, 1, 0, 87, 36, 0, 80
